gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	n
123	13	106	12	2
123	13	106	15	1
123	13	123	4	3
123	13	123	6	4
123	13	123	7	1
123	13	123	8	10
123	13	123	11	2
123	13	123	12	10
123	13	123	14	1
123	13	123	15	1
123	13	123	16	1
123	13	136	9	1
123	13	136	11	1
123	13	136	12	7
123	13	154	8	3
123	13	154	14	8
123	13	177	40	2
123	13	177	47	10
123	13	203	0	5
123	13	226	3	52
123	13	226	9	1
123	13	226	15	1
123	13	226	16	16
123	13	226	23	1
123	13	226	26	6
123	13	226	35	7
123	13	226	36	2
123	13	226	51	1
123	13	226	62	1
123	13	226	65	4
123	13	226	70	5
123	13	226	73	1
123	13	226	74	1
123	13	247	1	2
123	13	247	2	26
123	13	247	3	1
123	13	247	4	10
123	13	247	6	1
123	14	123	13	1
123	15	123	13	1
123	16	123	13	1
136	1	35	2	6
136	1	106	1	4
136	1	106	4	3
136	1	106	8	7
136	1	106	10	14
136	1	106	11	18
136	1	106	12	17
136	1	106	13	3
136	1	106	16	1
136	1	106	18	7
136	1	106	22	1
136	1	106	24	7
136	1	106	30	5
136	1	106	31	2
136	1	106	32	2
136	1	106	33	7
136	1	136	2	13
136	1	136	3	4
136	1	136	4	51
136	1	136	5	16
136	1	136	6	50
136	1	136	7	22
136	1	136	8	38
136	1	136	9	48
136	1	136	10	17
136	1	136	11	4
136	1	136	12	511
136	1	136	13	22
136	1	177	51	3
136	1	203	0	18
136	1	226	3	34
136	1	226	11	1
136	1	226	30	1
136	1	226	36	1
136	1	226	41	1
136	1	226	65	1
136	1	247	2	2
136	2	39	16	1
136	2	106	8	1
136	2	106	10	1
136	2	106	30	1
136	2	106	33	1
136	2	136	1	13
136	2	136	3	10
136	2	136	4	5
136	2	136	5	11
136	2	136	6	7
136	2	136	7	4
136	2	136	8	5
136	2	136	9	29
136	2	136	10	2
136	2	136	11	3
136	2	136	12	146
136	2	136	13	12
136	2	177	40	1
136	2	177	47	1
136	2	203	0	4
136	2	226	3	3
136	2	226	16	1
136	2	226	36	1
136	2	247	1	1
136	2	247	2	1
136	3	106	8	1
136	3	106	12	1
136	3	106	33	6
136	3	136	1	4
136	3	136	2	10
136	3	136	4	2
136	3	136	5	6
136	3	136	6	13
136	3	136	7	4
136	3	136	8	1
136	3	136	9	18
136	3	136	10	4
136	3	136	11	3
136	3	136	12	75
136	3	136	13	6
136	3	177	47	1
136	3	203	0	1
136	3	226	3	2
136	3	226	16	1
